,latitud,longitud,población,region,pais,precio,agua,wc,vaciado
72,43.47195,11.88764,Arezzo,Toscana,Italia,De pago,si,si,desconocido
73,42.17361,-1.59155,Arguedas,Navarra - Nafarroa,España,Gratuito,si,no,si
74,42.21404,-2.23987,Arnedillo,La Rioja,España,Gratuito,si,si,desconocido
75,50.29442,2.78836,Saint-Laurent-Blangy,Hauts-de-France,France,Gratuito,si,no,si
76,49.33906,-0.6258,Arromanches-les-Bains,Normandie,France,Gratuito,si,si,si
77,42.58921,-2.0957,Arróniz,Navarra - Nafarroa,España,Gratuito,si,no,si
78,42.87507,-0.39439,Laruns,Nouvelle-Aquitaine,France,Gratuito,si,desconocido,si
79,42.08722,-8.41389,As Neves,Galicia,España,Gratuito,si,desconocido,si
80,42.81034,-7.10733,As Nogais,Galicia,España,Gratuito,si,no,si
81,41.18698,0.56835,Ascó,Catalunya,España,Gratuito,si,no,desconocido
82,42.45136,-6.06599,Astorga,Castilla y León,España,Gratuito,si,no,desconocido
83,43.63736,0.58601,Auch,Occitanie,France,De pago,si,si,desconocido
84,47.66396,-2.97342,Auray,Bretagne,France,Gratuito,si,no,si
85,45.0518,6.07838,Auris,Auvergne-Rhône-Alpes,France,Gratuito,si,no,si
86,46.95545,4.3163,Autun,Bourgogne-Franche-Comté,France,Gratuito,si,si,si
87,45.07324,7.39034,Avigliana,Piemonte,Italia,Gratuito,si,no,si
88,47.21286,0.17715,Avoine,Centre-Val de Loire,France,De pago,si,no,si
89,42.65421,-2.0455,Iratxe,Navarra - Nafarroa,España,Gratuito,si,no,si
90,50.31196,9.79737,Bad Brückenau,Bayern,Deutschland,De pago,si,no,si
91,38.88471,-6.97873,Badajoz,Extremadura,España,Gratuito,si,si,si
92,48.78174,8.20428,Baden-Baden,Baden-Württemberg,Deutschland,De pago,si,no,si
93,37.99629,-3.45957,Baeza,Andalucía,España,Gratuito,si,no,si
94,43.0733,0.15366,Bagnères-de-Bigorre,Occitanie,France,Gratuito,si,no,desconocido
95,45.97138,6.0312,Dalmaz,Auvergne-Rhône-Alpes,France,De pago,si,no,desconocido
96,46.22619,14.70403,Kamnik,Slovenija,Slovenija,Gratuito,si,no,si
97,49.88608,10.90295,Bamberg,Bayern,Deutschland,De pago,si,no,si
98,43.33976,-8.35468,Oleiros,Galicia,España,Gratuito,si,no,si
99,47.67176,12.01018,Bayrischzell,Bayern,Deutschland,De pago,si,desconocido,si
100,47.01776,4.83685,Beaune,Bourgogne-Franche-Comté,France,Gratuito,si,no,si
101,42.85283,-7.15322,Becerreá,Galicia,España,Gratuito,si,no,si
102,44.12493,5.17239,Bédoin,Provence-Alpes-Côte d'Azur,France,De pago,si,si,si
103,46.20135,9.01748,Bellinzona,Ticino,Schweiz/Suisse/Svizzera/Svizra,De pago,si,no,si
104,46.13766,12.2141,Belluno,Veneto,Italia,De pago,si,si,si
105,41.24624,1.56985,Bellvei,Catalunya,España,De pago,si,si,si
106,39.70905,-1.10108,Benagéber,Comunitat Valenciana,España,Gratuito,si,no,si
107,43.1034,-2.42424,Bergara,Euskadi,España,Gratuito,si,no,si
108,44.87108,0.50389,Bergerac,Nouvelle-Aquitaine,France,Gratuito,si,no,desconocido
109,43.4233,-2.72611,Bermeo,Euskadi,España,Gratuito,si,no,desconocido
110,44.36954,-0.24272,Bernos-Beaulac,Nouvelle-Aquitaine,France,De pago,si,no,si
111,42.84038,-1.6652,Berriozar,Navarra - Nafarroa,España,Gratuito,si,no,si
112,39.57951,-0.44537,Bétera,Comunitat Valenciana,España,De pago,si,si,desconocido
113,43.4659,-1.57174,Biarritz,Nouvelle-Aquitaine,France,De pago,si,no,si
114,39.13286,-0.79065,Bicorp,Comunitat Valenciana,España,De pago,si,si,desconocido
115,49.96882,7.94462,Bingen am Rhein,Rheinland-Pfalz,Deutschland,De pago,si,no,si
116,44.45887,-1.24529,La Teste-de-Buch,Nouvelle-Aquitaine,France,De pago,si,no,desconocido
117,50.0537,11.7935,Rangen,Bayern,Deutschland,Gratuito,si,si,si
118,43.42094,-6.8145,El Serredo,Asturias / Asturies,España,Gratuito,si,no,si
119,42.87276,-5.32588,Boñar,Castilla y León,España,Gratuito,si,no,desconocido
120,44.17784,0.66167,Boé,Nouvelle-Aquitaine,France,Gratuito,si,no,si
121,48.68872,8.1292,Bühl,Baden-Württemberg,Deutschland,De pago,si,no,desconocido
122,46.47317,11.33717,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Italia,De pago,si,no,si
123,45.39896,2.49721,Bort-les-Orgues,Nouvelle-Aquitaine,France,Gratuito,si,no,si
124,50.74415,1.59751,Boulogne-sur-Mer,Hauts-de-France,France,De pago,si,desconocido,si
125,47.07638,2.39861,Bourges,Centre-Val de Loire,France,Gratuito,si,si,desconocido
126,43.17786,0.97461,Boussens,Occitanie,France,Gratuito,si,no,si
127,44.48413,1.644,Bouziès,Occitanie,France,De pago,si,si,desconocido
128,46.33312,13.53951,Bovec,Slovenija,Slovenija,De pago,si,no,desconocido
129,41.80398,-6.74596,Bragança,Bragança,Portugal,Gratuito,si,si,desconocido
130,45.3791,0.64585,Brantôme en Périgord,Nouvelle-Aquitaine,France,Gratuito,desconocido,desconocido,desconocido
131,45.36042,0.64791,Brantôme en Périgord,Nouvelle-Aquitaine,France,De pago,si,no,desconocido
132,45.92608,7.62047,Breuil-Cervinia,Valle d'Aosta / Vallée d'Aoste,Italia,De pago,si,no,si
133,44.00515,2.69351,Broquiès,Occitanie,France,Gratuito,si,si,si
134,45.33291,-0.04577,Brossac,Nouvelle-Aquitaine,France,Gratuito,si,no,si
135,40.36809,-2.76267,Garcinarro,Castilla-La Mancha,España,De pago,si,si,si
136,39.40275,8.40184,Bugerru/Buggerru,Sardigna/Sardegna,Italia,De pago,si,no,si
137,43.6532,-7.35838,Burela,Galicia,España,Gratuito,si,no,desconocido
138,42.35139,-3.68056,Burgos,Castilla y León,España,Gratuito,si,no,si
139,36.81611,-2.14961,Níjar,Andalucía,España,De pago,si,si,si
140,44.44022,1.4409,Cahors,Occitanie,France,Gratuito,si,no,desconocido
141,41.73494,1.51397,Calaf,Catalunya,España,Gratuito,si,no,desconocido
142,41.35056,-1.64679,Calatayud,Aragón,España,Gratuito,si,no,si
143,48.2741,-4.60858,Camaret-sur-Mer,Bretagne,France,De pago,si,no,desconocido
144,43.01819,0.17829,Campan,Occitanie,France,Gratuito,si,si,desconocido
145,46.09956,14.51606,Ljubljana,Slovenija,Slovenija,De pago,si,si,desconocido
146,38.93856,-0.1527,l'Alqueria de la Comtessa,Comunitat Valenciana,España,De pago,si,si,si
147,44.568,2.58947,Campuac,Occitanie,France,Gratuito,si,si,si
148,43.58487,-5.77208,Candás,Asturias / Asturies,España,Gratuito,si,no,si
149,43.3526,-5.12553,Cangas de Onís / Cangues d'Onís,Asturias / Asturies,España,Gratuito,si,no,desconocido
150,42.25536,-8.79764,Cangas,Galicia,España,Gratuito,si,no,si
151,40.52591,-0.40742,Cantavieja,Aragón,España,Gratuito,si,no,si
152,43.63606,-1.44719,Capbreton,Nouvelle-Aquitaine,France,De pago,si,si,si
153,41.33796,-1.23041,Cariñena,Aragón,España,Gratuito,si,no,si
154,43.73358,-7.87437,Cariño,Galicia,España,Gratuito,si,no,si
