WKT,nombre,descripción
"POINT (-2.4338427 41.1717207)",Medinaceli,
"POINT (-2.4312133 41.17129660000001)",Área de Autocaravanas de Medinaceli,
"POINT (-2.6462262 41.067066)",Sigüenza,
"POINT (-2.935636499999999 40.9181815)",Castillo de Jadraque,
"POINT (-2.8695567 40.7619928)",Brihuega,
"POINT (-2.73081 40.4836522)",Sacedón,
"POINT (-2.7549538 40.4028018)",Ruta de las Caras - Buendía,
"POINT (-2.0114435 40.2067043)",La Ciudad Encantada,
"POINT (-2.0712481 40.2378511)",Ventano del Diablo,
"POINT (-2.0033617 40.2838142)",Los Callejones de las Majadas,
"POINT (-2.1393657 40.12652349999999)",Camping Caravaning Cuenca,
"POINT (-2.1374162 40.0703925)",Cuenca,
"POINT (-1.9502785 40.02240279999999)",Torcas de Palancares y Tierra Muerta,
"POINT (-2.382099 39.6609937)",Castillo de Garcimuñoz.,
"POINT (-2.3822168 39.6613211)",Garcimuñoz,
"POINT (-2.8626057 39.50553230000001)",Mota del Cuervo,
"POINT (-2.863945 39.4163707)",Laguna de Manjavacas,
"POINT (-2.696705999999999 39.55792699999999)",Castillo de Belmonte,
"POINT (0.3913172 40.3668829)",Peñíscola,
"POINT (0.406305 40.378274)",Parking "Els Daus" Peníscola,
"POINT (0.7158913 40.7144023)",Aparcament per autocaravanes,
"POINT (0.7176492 40.72123879999999)",Deltebre,
"POINT (0.7491353000000001 40.63511099999999)",Platja del Trabucador,
"POINT (0.7403094 40.64037769999999)",Observatori de La Tancada,
"POINT (0.7403069999999999 40.644252)",MónNatura Delta de l'Ebre,
"POINT (0.6753437 40.6592248)",Área Cámper Amposta,
"POINT (0.6751607 40.6578831)",Museo Casa de Fusta,
"POINT (0.6867968999999999 40.6458834)",Poblenou del Delta,
"POINT (0.8603457 40.72080709999999)",Zigurat, Desembocadura Del Ebro,
"POINT (0.8499454 40.725578)",Observatorio del Garxao,
"POINT (0.7791699999999999 40.86475)",Camping Ametlla,
"POINT (-0.1015492 40.6181387)",Morella,
