WKT,nombre,descripción
"POINT (-0.890311 41.6829838)",Área Autocaravanas de Zaragoza,
"POINT (-4.189399299999999 43.01717370000001)",Nacimiento del Río Ebro,
"POINT (-4.3321114 42.5953655)",Herrera de Pisuerga,
"POINT (-4.3329662 42.5901244)",Area de autocaravanas de Herrera de Pisuerga,
"POINT (-4.736409399999999 42.48195639999999)",Villa Romana La Olmeda,
"POINT (-6.053251100000001 42.4549303)",Astorga,
"POINT (-6.3422059 42.6149991)",Playa fluvial La Ribera del Folgoso,
"POINT (-6.5930662 42.543957)",Ponferrada,
"POINT (-6.586452800000001 42.5433222)",Área de Autocaravanas de Ponferrada,
"POINT (-6.7801849 42.4889338)",Lago de Carucedo,
"POINT (-6.7514302 42.4569135)",Mirador de Orellán - Las Médulas,
"POINT (-5.8094 42.61742399999999)",Playa Fluvial de Cimanes de Tejar,
"POINT (-5.3235259 42.8661879)",Boñar,
"POINT (-5.3288688 42.86972799999999)",Área de autocaravanas,
"POINT (-5.318827100000001 42.9433449)",Museo de la Fauna Salvaje,
"POINT (-5.280863200000001 42.9345023)",MIRADOR EMBALSE DEL PORMA,
"POINT (-5.3112084 43.0100082)",Area Recreativa Ermita de Pegaruas,
"POINT (-5.315983199999999 43.04566099999999)",Lago de Isoba,
"POINT (-5.3777978 43.0633203)",San Isidro Estación Invernal y de Montaña,
"POINT (-4.7562159 43.4211483)",Llanes,
"POINT (-3.6634197 41.5477342)",Zona recreativa Montejo de la Vega de la Serrezuela,
"POINT (-1.922138 41.8564653)",Ágreda,
"POINT (-1.9316572 41.8466888)",Área de Autocaravanas de Ágreda,
"POINT (0.1403811 42.4146941)",Aínsa,
"POINT (0.1350546 42.41849860000001)",Parking Municipal Aínsa,
"POINT (0.1431449 42.5160785)",Rio Cinca,
"POINT (0.8344600999999999 42.5224942)",Bohí,
"POINT (0.796021 42.50149469999999)",Area Autocaravanas Barruera,
"POINT (0.8487501 42.519937)",Tahull,
"POINT (0.9324086999999999 42.5719788)",Parc Nacional d'Aigüestortes i Estany de Sant Maurici,
"POINT (1.4920189 42.4841966)",Puente de la Margineda,
"POINT (1.5604792 42.51141690000001)",San Miguel de Engolasters,
"POINT (1.5218355 42.50631740000001)",Andorra la Vieja,
"POINT (1.5330732 42.5556547)",Ordino,
"POINT (1.4924703 42.5392208)",Vallnord,
"POINT (1.5333344 42.6002885)",Ruta del Ferro,
"POINT (1.6885422 42.5251496)",Estany Primer de Pessons,
"POINT (1.7002186 42.5324162)",Grau Roig,
"POINT (1.599589 42.5302679)",Pardines,
"POINT (1.4868055 42.45376449999999)",River Centre Comercial,
"POINT (1.9756752 42.2532523)",Jardins Artigas,
"POINT (2.265162 42.426896)",Vallter,
"POINT (2.244497 42.4242371)",Nacimiento del río Ter,
"POINT (3.0682635 42.0008093)",Ullastret,
"POINT (3.107779 42.180729)",Camping Amfora,
"POINT (3.1905192 42.0512834)",Estartit,
"POINT (3.1901953 42.0490493)",Costa Brava Àrea,
"POINT (3.2244291 42.0466298)",Islas Medas,
"POINT (3.0770466 42.00750199999999)",Parking Gratuït (MAC Ullastret),
"POINT (3.1518504 41.8620988)",Cala S'Alguer,
"POINT (2.4655228 42.0245042)",Rupit,
"POINT (2.4646229 42.0260579)",Area ac Rupit,
"POINT (2.4677752 42.0102342)",Iglesia de san Juan de Fàbregues,
"POINT (2.2544335 41.9304373)",Vic,
"POINT (2.2400553 41.9349212)",Vic Área de Autocaravanas,
"POINT (2.4706991 41.76838599999999)",Pantano de Santa Fe del Montseny,
"POINT (0.5998512 41.0407656)",Miravet,
"POINT (0.6025172999999998 41.0392428)",Pàrquing Autocaravanes,
"POINT (0.5932174 41.0356604)",Castillo de Miravet,
"POINT (0.8107149 41.2561866)",Cartoixa d'Escaladei,
"POINT (0.9323577999999999 41.2581135)",Siurana,
"POINT (1.1573705 41.08790659999999)",PortAventura World,
"POINT (1.1542122 41.0944365)",PortAventura Parking Caravaning,
"POINT (1.150954 41.0970942)",Parking,
