WKT,nombre,descripción
"POINT (-4.623611299999999 43.1535975)",Potes,
"POINT (-4.625863100000001 43.1544199)",Parkin La Serna,
"POINT (-4.8122148 43.1442372)",Fuente Dé,
"POINT (-4.7280761 43.1090411)",Cosgaya,
"POINT (-4.3726427 43.3874707)",Los llaos parking,
"POINT (-4.0689066 43.3254398)",Cartes,
"POINT (-4.0689703 43.3314641)",Vía Verde del Besaya,
"POINT (-3.819381000000001 43.3581616)",Autocaravanas, Área Servicio y Pernocta - Cabárceno,
"POINT (-4.7507233 43.4195556)",Llanes,
"POINT (-4.7680034 43.4239557)",Área de Autocaravanas Llanes,
"POINT (-5.1440036 43.2731252)",Ruta Beyu Pen,
"POINT (-5.780507300000001 43.2516921)",Área de Autocaravanas de Mieres,
"POINT (-5.7652411 43.2531245)",Via verde del Rioturbio,
"POINT (-5.833176899999999 43.2691698)",Via verde del ferrocarril de Lloreo,
"POINT (-6.101047199999999 43.1595558)",Área de Autocaravanas de La Plaza. Teverga,
"POINT (-6.075588600000001 43.137653)",Parque de la Prehistoria de Teverga,
"POINT (-6.201688299999999 43.0719351)",Camping Lagos De Somiedo,
"POINT (-6.186249900000001 43.06803759999999)",Ruta De Valle Del Lago,
"POINT (-5.7635197 43.5337373)",Monte Areo. Túmulo de San Pablo,
"POINT (-5.6611195 43.5322015)",Gijón,
"POINT (-5.679041100000001 43.534547)",Aparcamiento gratuito entrada Gijón,
"POINT (-5.822419 43.4097796)",Parque La Cebera,
"POINT (-7.018259800000001 43.2583998)",Santa Eulalia de Oscos,
"POINT (-7.0184129 43.2574223)",Área de servicio y pernocta de autocaravanas de Santalla d'Ozcos,
"POINT (-7.055796900000001 43.2677324)",Cascada de Seimeira de Murias,
"POINT (-7.1072776 43.3590358)",Castro de Taramundi,
"POINT (-7.107533699999999 43.35872229999999)",Ruta del Agua,
"POINT (-7.107084799999999 43.3597926)",Parking AC,
"POINT (-6.724565200000001 43.53975210000001)",Navia,
"POINT (-6.71989 43.54520000000001)",Área Autocaravanas,
"POINT (-6.9967641 43.5536162)",Playa de Penarronda,
"POINT (-5.255167900000002 43.5005328)",Huellas fósiles de Dinosaurios,
"POINT (-4.9797688 43.4584215)",Bufones de Pría,
"POINT (-0.114246 42.889054)",Cauterets,
"POINT (-0.1130906 42.8933272)",Parking AC Cauterets,
"POINT (2.3527175 43.2000401)",aire de camping car Carcassonne,
"POINT (2.3517703 43.2132151)",Carcasona,
"POINT (3.038588400000001 42.8408839)",Aire de Camping Car Port Leucate,
"POINT (3.0442557 42.8436673)",Plage Leucate,
"POINT (2.62044 42.685996)",Les Orgues d'Ille-sur-Tet,
"POINT (3.084631 42.52675199999999)",Colliure,
"POINT (3.0689691 42.5261288)",Parking Cap Dourat (P2),
"POINT (2.957701999999999 42.515558)",The Turtle Valley,
"POINT (3.1781873 42.2631774)",Roses,
"POINT (3.1564855 42.2682533)",Autocaravaning Park Roses,
"POINT (3.1101127 42.1809024)",Sant Peré Pescador,
"POINT (-1.23811 43.163141)",San Juan Pie de Puerto,
"POINT (-1.2364977 43.1596423)",Area autocaravanas,
