WKT,nombre,descripción
"POINT (3.0110215 45.78883459999999)",Aire De Camping Car,
"POINT (2.9624505 45.7720165)",Puy de Dôme,
"POINT (2.977727100000001 45.6606007)",WoMo Stellplatz Aydat,
"POINT (2.841326 45.6828596)",Basílica de Nuestra Señora de Orcival,
"POINT (2.809278 45.574983)",Mont-Dore,
"POINT (2.8205822 45.6223234)",Point de vue Roches Tuilière et Sanadoire,
"POINT (2.8154358 45.6169246)",Cascade Des Mortes De Guery,
"POINT (2.493809 45.137854)",Salers,
"POINT (2.4983208 45.1471739)",Camping Le Mouriol,
"POINT (2.228908 44.9331548)",Plage d'Espinet,
"POINT (2.032871 44.60828799999999)",Figeac,
"POINT (1.669032 44.464672)",Saint-Cirq-Lapopie,
"POINT (1.6789857 44.4702685)",Motorhome Aire,
"POINT (2.073126 44.57332299999999)",Aire Camping-Car Park,
"POINT (4.031696 49.258329)",Reims,
