WKT,nombre,descripción,,,,,,
POINT (-7.11513 42.38907 0.0),Area ac A Rua  Gratuito, Agua: si, Wc: no, Grises: si, Negras: si, Electr: no,,
POINT (6.10291 50.76145 0.0),Area Ac Aachen-Aquisgran  (Gratuito:no(15eur/24h),Agua:si,Wc:si,Vaciado:si,Elec:si),,,
POINT (-2.77737 37.15425 0.0),Area Ac Abla-Montagon  (Gratuito,Agua:si,Wc:si,Vaciado:si,Elect:no),,,
POINT (-8.02111 42.75889 0.0),Area ac Agolada  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:no),,,
POINT (-1.93007 41.84743 0.0),Area Ac Agreda   (Gratuito,Agua:si,Wc:si,Vaciado:si,Elec:no),,,
POINT (-4.25724 42.7863 0.0),Area ac Aguilar de Campoo  Gratuito, Agua: si, Wc: no, Grises: si, Elec: no,,,
POINT (4.19645 43.56522 0.0),Area Ac Aigues Mortes  (7e/noche, Agua:si,WC:no),,,,,
POINT (-5.71036 38.03745 0.0),Area ac Alameda del Parral (Alanis)  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:no),,,
POINT (-0.50825 41.12133 0.0),Area AC Albalate del Arzobispo  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (-3.21934 39.38959 0.0),Area Ac Alcazar de San Juan  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:?),,,
POINT (1.1729 41.26326 0.0),Area Ac Alcover  (5eur/noche,Agua:si,Wc:no,Vaciado:si,Elec:no),,,
POINT (6.15842 62.47643 0.0),Area Ac Alesund  (Precio:18eur,Agua:si,Wc:no,Vaciado:si,Elec:si,duchas,wifi),
POINT (-1.23827 41.43594 0.0),Area AC Alfamen  (Gratuito,Agua:si,vaciado:si,WC:no),,,,
POINT (11.62534 48.22077 0.0),Area Ac Allianz Arena (Munich)  (Gratuito: no (15 eur/24 h.), Agua: si, Wc: si, tren y autobus al centro),,,,
POINT (-2.79397 36.69709 0.0),Area Ac Almerimar (El Eljido)  (Precio:8eur/24h,Agua:si,Wc:si,Vaciado:si,Elec:si,Duchas),,
POINT (9.27856 50.74863 0.0),Area Ac Alsfeld  (Gratuito:no(5eur/24h),Agua:si,Wc:no,Vaciado:si,Elec:si),,,
POINT (23.48611 69.98899 0.0),Area Ac Alta  (Gratuito,Agua:si,Wc:si,Vaciado:si,Elec:?),,,
POINT (8.44087 45.78528 0.0),Area AC Ameno  (Gratuito,Agua:si,vaciado:si,WC:no,electric:si),,,
POINT (6.13846 49.24773 0.0),Area Ac Amneville  (Gratuito,Agua:si,Wc:si,Vaciado:si,Elec:?),,,
POINT (-1.11095 44.74496 0.0),Area Ac Andernos Les Bains  (10eur/noche,Agua:si,Wc:si,Vaciado:Si,Electr:no),,,
POINT (-0.44725 40.98399 0.0),Area ac Andorra  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elect:?),,,
POINT (-4.57154 37.0213 0.0),Area AC Antequera  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (12.42003 43.5595 0.0),Area Ac Apecchio  Gratuito: si, Agua: si, Wc: no,,,,,
POINT (-3.69273 41.67026 0.0),Area Ac Aranda de Duero  (Gratuito,Agua:si,Wc:no),,,,,
POINT (11.88764 43.47195 0.0),Area Ac Arezzo  (8 euros,Agua:si 1 euro ,WC:si, wifi),,,,
POINT (-1.59155 42.17361 0.0),Area Ac Arguedas  (Gratuito,Agua:si(de pago),Wc:no,Vaciado:si,Elec:de pago),,,
POINT (-2.23987 42.21404 0.0),Area ac Arnedillo  Gratuito, Agua: si, Wc: si,,,,,
POINT (2.78836 50.29442 0.0),Area Ac Arras  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:si),,,
POINT (-0.6258 49.33906 0.0),Area Ac Arromanches  (Gratuito,Agua:si,Wc:si,Vaciado:si,Elec:?),,,
POINT (-2.0957 42.58921 0.0),Area AC Arroniz  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (-0.39439 42.87507 0.0),Area AC Artouste-Fabreges  (Gratuito,Agua:si 5eur, vaciado:si, electric:si 5 eur, WC:no),,,
POINT (-8.41389 42.08722 0.0),Area AC As Neves  (Gratuito,Agua:si,Vaciado:si,Elect:no,Wc:no),,,
POINT (-7.10733 42.81034 0.0),Area AC As Nogais  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (0.56835 41.18698 0.0),Area Ac Asco  Gratuito:Si Agua:Si WC:No Electric:No,Agua: si,Wc: no,,,,,
POINT (-6.06599 42.45136 0.0),Area ac Astorga  Gratuito: Si, Pernocta: Si Agua: Si WC:No,,,,,,
POINT (0.58601 43.63736 0.0),Area Ac Auch  4 eur/noche, Agua: si, Wc: si,,,,,
POINT (-2.97342 47.66396 0.0),Area Ac Auray  (Gratuito,Agua:si,Vaciado:si,Wc:no),,,,
POINT (6.07838 45.0518 0.0),Area Ac Auris-en-Oisans  (Gratuito,Agua:si(2eur),Wc:no,Vaciado:si,Elec:?),,,
POINT (4.3163 46.95545 0.0),Area ac Autun  (Gratuito,Agua:si,Wc:si,Vaciado:si,Elec:?),,,
POINT (7.39034 45.07324 0.0),Area AC Avigliana  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (0.17715 47.21286 0.0),Area Ac Avoine  (4uer/24h,Agua:2eur:Wc:no,Vaciado:si,Elect:2eur),,,,
POINT (-2.0455 42.65421 0.0),Area Ac Ayegui  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elect:?),,,
POINT (9.79737 50.31196 0.0),Area Ac Bad Bruckenau  (Gratuito:no(3eur/24h),Agua:si,Wc:no,Vaciado:si,Elec:si),,,
POINT (-6.97873 38.88471 0.0),Area Ac Badajoz  (Gratuito,Agua:si,WC:si,Vaciado:si,Elect:no),,,
POINT (8.20428 48.78174 0.0),Area Ac Baden Baden  (7eur/noche,Agua:si,Wc:no,Vaciado:si,Elec:?),,,
POINT (-3.45957 37.99629 0.0),Area AC Baeza  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (0.15366 43.0733 0.0),Area Ac Bagneres de Bigorre  Gratuito, Agua: si, Wc: no,,,,,
POINT (6.0312 45.97138 0.0),Area AC Balme de Sillingy  (5eur/24h, Agua:si, WC:no),,,,,
POINT (14.70403 46.22619 0.0),Area AC Balneario de Snovik  (Gratuito, Agua:si, vaciado:si, Wc:no, electric: si 15 euros),,,
POINT (10.90295 49.88608 0.0),Area Ac Bamberg  (Gratuito:no(8eur/noche),Agua:si,Wc:no,Vaciado:si,Elec:no),,,
POINT (-8.35468 43.33976 0.0),Area AC Bastiagueiro (Oleiros)  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (12.01018 47.67176 0.0),Area AC Bayrischzell  (10 eur/dia,Agua:si 0,50/25l.,vaciado:si,WC:si, electric,si 0,50/12 h.)
POINT (4.83685 47.01776 0.0),Area Ac Beaune  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:?),,,
POINT (-7.15322 42.85283 0.0),Area ac Becerrea  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:?),,,
POINT (5.17239 44.12493 0.0),Area Ac Bedoin   (11 eur/24h.,Agua:si,vaciado:si,WC:si, elect:si, piscinas cercanas),,
POINT (9.01748 46.20135 0.0),Area AC Bellinzona  (20 chf/24h,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (12.2141 46.13766 0.0),Area ac Belluno  Gratuito:no,Agua:si,Wc:si,Vaciado:si,Elect:no,,,
POINT (1.56985 41.24624 0.0),Area Ac Bellvei del Penedes  (Gratuito:no(8eur/noche),Agua:si,Wc:si,Vaciado:si,Elec:no),,,
